temperatura,humedad_relativa,precipitacion,deficit_presion_vapor,velocidad_viento,temperatura_suelo,es_dia,radiacion,year,month,day,hour,id
12.8,90,0.0,0.14,6.6,16.0,0,0.0,2015,5,1,0,"a5e19e8c-2469-4320-8c0d-b1cf93434b57"
11.9,91,0.0,0.13,6.6,15.5,0,0.0,2015,5,1,1,"3436f606-7f5b-4be1-bea1-019900befe67"
11.5,90,0.0,0.13,5.3,14.9,0,0.0,2015,5,1,2,"1e8495db-f234-4ea5-ab43-6388b9e70a3c"
12.2,86,0.0,0.19,4.8,14.8,0,0.0,2015,5,1,3,"39315ab7-63df-436f-8b46-93e1dc93a717"
12.7,84,0.0,0.23,4.1,14.9,0,0.0,2015,5,1,4,"e310f6ab-aba1-4e90-a23c-ca8fe72d8744"
12.3,87,0.0,0.18,2.5,14.7,0,0.0,2015,5,1,5,"f897d630-1f2f-444f-b2e7-b245c3a70c7c"
12.2,89,0.0,0.16,2.8,14.6,0,0.0,2015,5,1,6,"f5f444f9-8979-4041-8b23-bf1967e1e8a3"
12.4,90,0.0,0.15,3.5,14.9,1,28.0,2015,5,1,7,"43e32a84-6c08-4a4d-8a75-95fec0eed88b"
14.0,81,0.0,0.3,3.5,16.8,1,169.0,2015,5,1,8,"a40eabd2-17c1-4e2a-941a-09764ca9c335"
16.1,65,0.0,0.64,5.3,18.2,1,391.0,2015,5,1,9,"f48a0dcf-65ff-4409-9f34-85fef3d0d763"
17.5,56,0.0,0.88,8.3,20.1,1,557.0,2015,5,1,10,"a981bce4-1eb0-4d36-a35a-921f8de4dfa4"
18.8,48,0.1,1.12,9.0,22.1,1,717.0,2015,5,1,11,"366f3c7e-7922-4bc4-9a46-4e9c57b31484"
19.1,46,0.0,1.19,9.9,22.3,1,587.0,2015,5,1,12,"36b61397-ec03-42ed-ae0a-2078c0f41f11"
21.2,36,0.0,1.62,10.7,24.0,1,827.0,2015,5,1,13,"005fdceb-8fd8-401d-977a-23c8b47702ae"
21.9,33,0.0,1.77,12.1,24.7,1,835.0,2015,5,1,14,"2110bf3d-6b37-4bdb-a638-603210029029"
22.4,31,0.0,1.87,12.4,25.0,1,760.0,2015,5,1,15,"dc3b4fe3-2be0-4838-8db2-6fdaded1b6e9"
